00:11:12.840 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@5340116d] on IDLE CHECK has SUCCEEDED.
00:11:12.841 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@2c0ea67] on IDLE CHECK.
00:11:12.841 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@2588015b] on IDLE CHECK has SUCCEEDED.
00:11:12.843 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@2c0ea67] on IDLE CHECK has SUCCEEDED.
00:18:42.796 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Checking for expired resources - Wed Jul 13 00:18:42 CST 2016 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.797 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - BEGIN check for expired resources.  [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.798 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@b1afb37 ---> idle_time: 1829575; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.798 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@b1afb37 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.820 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@6bf0d425 ---> idle_time: 2249391; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.820 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@b1afb37
00:18:42.821 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@6bf0d425 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.821 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@b1afb37
00:18:42.821 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@6bf0d425
00:18:42.822 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@24eced4a ---> idle_time: 2249413; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
